Bug_id, Number of Functions, total cyclomatic complexity, total lines of code,total token_count,total parameters
167085,6.333333333333333,12.666666666666666,41.666666666666664,250.33333333333334,2.3333333333333335
98536,95.0,312.0,1297.0,8630.0,79.0
167705,4.0,6.0,46.0,333.0,5.0
147530,8.575221238938052,14.902654867256636,64.89380530973452,375.53982300884957,5.495575221238938
167450,8.166666666666666,16.5,84.16666666666667,552.1333333333333,4.9
128142,7.96,14.48,81.12,573.28,5.36
167204,19.6,31.2,135.6,715.4,14.6
105041,66.0,203.0,824.0,5224.0,35.0
154329,45.0,153.0,554.5,3514.0,50.5
167231,6.666666666666667,16.666666666666668,62.333333333333336,383.0,6.0
167183,17.666666666666668,34.333333333333336,164.66666666666666,1092.6666666666667,13.0
164757,5.0,11.0,60.0,579.0,4.0
167170,33.5,60.0,349.5,2275.5,25.0
125327,12.0,22.0,99.0,565.0,10.0
164182,15.166666666666666,39.833333333333336,166.83333333333334,979.0,14.166666666666666
160959,32.5,121.0,534.5,3454.5,45.5
166800,14.333333333333334,34.5,150.0,875.0833333333334,12.083333333333334
166346,4.0,7.0,26.0,146.0,4.0
166789,3.0,4.0,20.0,102.0,1.0
165691,2.3333333333333335,4.333333333333333,37.333333333333336,234.66666666666666,3.3333333333333335
166635,12.0,14.333333333333334,45.666666666666664,205.33333333333334,11.333333333333334
166706,12.25,16.75,104.75,744.25,10.25
118429,7.596774193548387,11.564516129032258,66.37096774193549,448.5806451612903,5.741935483870968
166712,8.0,16.0,72.0,349.0,5.0
166682,14.0,36.0,137.0,864.0,14.0
34528,6.0,13.0,62.0,384.0,8.0
166577,11.4,20.8,86.8,509.8,5.4
166500,18.0,54.0,210.0,1128.0,12.0
166502,11.0,33.0,200.0,1270.0,8.0
165135,46.0,100.0,401.0,2588.0,42.0
166491,4.0,6.0,46.0,333.0,5.0
166478,7.0,8.0,106.0,658.0,2.0
166368,11.333333333333334,13.0,62.0,328.6666666666667,9.666666666666666
166383,15.166666666666666,25.333333333333332,114.0,701.8333333333334,14.833333333333334
166236,13.0,26.0,92.5,535.5,9.0
166052,20.0,81.0,251.0,1556.0,22.0
164679,15.0,43.0,156.0,1048.0,15.0
166107,36.0,78.0,295.0,1862.0,30.0
164361,37.0,72.0,268.0,1308.0,22.0
158316,140.0,274.0,1052.0,6213.0,103.0
165318,134.0,267.0,1045.0,6195.0,94.0
138651,36.0,82.0,358.0,2330.0,18.0
163317,12.7,21.3,90.2,560.9,10.6
165908,64.66666666666667,142.0,547.0,3263.3333333333335,51.666666666666664
164394,6.666666666666667,16.333333333333332,56.666666666666664,364.6666666666667,8.0
164365,13.0,20.0,87.0,631.0,16.0
165690,45.666666666666664,137.88888888888889,587.4444444444445,3522.0,36.22222222222222
153993,40.875,123.5,441.875,2705.0,46.75
76850,16.666666666666668,45.75,221.16666666666666,1333.0833333333333,10.083333333333334
165542,11.0,25.0,86.0,443.0,13.0
